31.061043	31.061043	U
31.204717	31.204717	D
31.287438	31.287438	U
31.301950	31.301950	D
31.381769	31.381769	U
31.460136	31.460136	D
31.516735	31.516735	U
31.644444	31.644444	D
31.818594	31.818594	U
31.902766	31.902766	D
31.957914	31.957914	U
32.117551	32.117551	D
32.285896	32.285896	U
32.304762	32.304762	D
32.403447	32.403447	U
32.500680	32.500680	D
32.550023	32.550023	U
32.573243	32.573243	D
32.692245	32.692245	U
32.729977	32.729977	D
32.819955	32.819955	U
32.909932	32.909932	D
33.007166	33.007166	U
33.065215	33.065215	D
33.160998	33.160998	U
33.269841	33.269841	D
33.504943	33.504943	U
33.628299	33.628299	D
33.703764	33.703764	U
33.726984	33.726984	D
33.806803	33.806803	U
33.933061	33.933061	D
34.065125	34.065125	U
34.150748	34.150748	D
34.229116	34.229116	U
34.375692	34.375692	D
34.587574	34.587574	U
34.774785	34.774785	D
34.946032	34.946032	U
35.398821	35.398821	D
35.552653	35.552653	U
35.590385	35.590385	D
35.662948	35.662948	U
35.729705	35.729705	D
35.774694	35.774694	U
35.780499	35.780499	D
35.893696	35.893696	U
35.912562	35.912562	D
36.008345	36.008345	U
36.037370	36.037370	D
36.150567	36.150567	U
36.226032	36.226032	D
36.321814	36.321814	U
36.426304	36.426304	D
36.585941	36.585941	U
36.612063	36.612063	D
36.826848	36.826848	U
36.831202	36.831202	D
36.979229	36.979229	U
37.170794	37.170794	D
37.337687	37.337687	U
37.381224	37.381224	D
37.482812	37.482812	U
37.532154	37.532154	D
37.720816	37.720816	U
37.828209	37.828209	D
38.028481	38.028481	U
38.130068	38.130068	D
38.388390	38.388390	U
38.796190	38.796190	D
38.881814	38.881814	U
38.891973	38.891973	D
39.005170	39.005170	U
39.025488	39.025488	D
39.132880	39.132880	U
39.234467	39.234467	D
39.314286	39.314286	U
39.344762	39.344762	D
39.518912	39.518912	U
40.179229	40.179229	D
40.402721	40.402721	U
40.489796	40.489796	D
40.784399	40.784399	U
41.125442	41.125442	D
41.330068	41.330068	U
41.431655	41.431655	D
41.595646	41.595646	U
41.685624	41.685624	D
41.775601	41.775601	U
42.305306	42.305306	D
42.367710	42.367710	U
42.388027	42.388027	D
42.460590	42.460590	U
42.499773	42.499773	D
42.589751	42.589751	U
42.599909	42.599909	D
42.713107	42.713107	U
42.724717	42.724717	D
42.850975	42.850975	U
43.006259	43.006259	D
43.064308	43.064308	U
43.096236	43.096236	D
43.363265	43.363265	U
43.383583	43.383583	D
43.435828	43.435828	U
43.475011	43.475011	D
43.535964	43.535964	U
43.576599	43.576599	D
43.628844	43.628844	U
43.789932	43.789932	D
43.952472	43.952472	U
44.006168	44.006168	D
44.065669	44.065669	U
44.115011	44.115011	D
44.164354	44.164354	U
44.190476	44.190476	D
44.303673	44.303673	U
44.393651	44.393651	D
44.628753	44.628753	U
44.834830	44.834830	D
44.908844	44.908844	U
44.965442	44.965442	D
45.051066	45.051066	U
45.206349	45.206349	D
45.323900	45.323900	U
45.344218	45.344218	D
45.567710	45.567710	U
45.619955	45.619955	D
45.778141	45.778141	U
45.905850	45.905850	D
46.066939	46.066939	U
46.191746	46.191746	D
46.290431	46.290431	U
47.703946	47.703946	D
47.989841	47.989841	U
48.069660	48.069660	D
48.174150	48.174150	U
48.293152	48.293152	D
48.446984	48.446984	U
48.510839	48.510839	D
48.761905	48.761905	U
49.182766	49.182766	D
49.298866	49.298866	U
49.539773	49.539773	D
49.737143	49.737143	U
49.944671	49.944671	D
50.068027	50.068027	U
50.150748	50.150748	D
50.358277	50.358277	U
50.385850	50.385850	D
50.609342	50.609342	U
51.083900	51.083900	D
51.165170	51.165170	U
51.202902	51.202902	D
51.292880	51.292880	U
51.298685	51.298685	D
51.382857	51.382857	U
51.493152	51.493152	D
51.660045	51.660045	U
51.826939	51.826939	D
51.870476	51.870476	U
52.006893	52.006893	D
52.120091	52.120091	U
52.140408	52.140408	D
52.333424	52.333424	U
52.435011	52.435011	D
52.581587	52.581587	U
52.613515	52.613515	D
52.741224	52.741224	U
52.821043	52.821043	D
52.974875	52.974875	U
53.166440	53.166440	D
53.308662	53.308662	U
53.388481	53.388481	D
53.508934	53.508934	U
53.590204	53.590204	D
53.726621	53.726621	U
53.752744	53.752744	D
53.871746	53.871746	U
53.893515	53.893515	D
54.060408	54.060408	U
54.209887	54.209887	D
54.294059	54.294059	U
54.314376	54.314376	D
54.485624	54.485624	U
54.659773	54.659773	D
54.743946	54.743946	U
54.764263	54.764263	D
54.961633	54.961633	U
55.603084	55.603084	D
55.694512	55.694512	U
55.713379	55.713379	D
55.881723	55.881723	U
56.083447	56.083447	D
56.156009	56.156009	U
56.338866	56.338866	D
56.388209	56.388209	U
56.408526	56.408526	D
56.476735	56.476735	U
56.589932	56.589932	D
56.775692	56.775692	U
56.801814	56.801814	D
56.997732	56.997732	U
57.118186	57.118186	D
57.283628	57.283628	U
58.295147	58.295147	D
58.402540	58.402540	U
59.001905	59.001905	D
59.183311	59.183311	U
59.309569	59.309569	D
59.418413	59.418413	U
60.158549	60.158549	D
60.244172	60.244172	U
60.252880	60.252880	D
60.355918	60.355918	U
60.458957	60.458957	D
60.577959	60.577959	U
60.663583	60.663583	D
60.804354	60.804354	U
60.872562	60.872562	D
61.053968	61.053968	U
61.146848	61.146848	D
61.376145	61.376145	U
61.389206	61.389206	D
61.514014	61.514014	U
61.519819	61.519819	D
61.631565	61.631565	U
61.722993	61.722993	D
61.826032	61.826032	U
61.908753	61.908753	D
62.046621	62.046621	U
62.087256	62.087256	D
62.299138	62.299138	U
62.731610	62.731610	D
62.889796	62.889796	U
63.239546	63.239546	D
63.396281	63.396281	U
63.448526	63.448526	D
63.596553	63.596553	U
63.654603	63.654603	D
63.792472	63.792472	U
63.854875	63.854875	D
63.968073	63.968073	U
63.995646	63.995646	D
64.127710	64.127710	U
65.049252	65.049252	D
65.174059	65.174059	U
65.184218	65.184218	D
65.310476	65.310476	U
65.587664	65.587664	D
65.677642	65.677642	U
65.753107	65.753107	D
66.001270	66.001270	U
66.115918	66.115918	D
66.348118	66.348118	U
67.696327	67.696327	D
67.795011	67.795011	U
67.809524	67.809524	D
67.876281	67.876281	U
67.906757	67.906757	D
67.986576	67.986576	U
68.041723	68.041723	D
68.096871	68.096871	U
68.266667	68.266667	D
68.334875	68.334875	U
68.349388	68.349388	D
68.423401	68.423401	U
68.455329	68.455329	D
68.529342	68.529342	U
68.535147	68.535147	D
68.597551	68.597551	U
68.681723	68.681723	D
68.887800	68.887800	U
69.090975	69.090975	D
