JawOpen	LipPucker	JawSlideRight	LipStretcherRight	LipStretcherLeft	LipCornerPullerLeft	LipCornerPullerRight	LipCornerDepressorLeft	LipCornerDepressorRight	LeftcheekPuff	RightcheekPuff	LefteyeClosed	RighteyeClosed	RighteyebrowLowerer	LefteyebrowLowerer	LowerlipDepressorLeft	LowerlipDepressorRight	
0	0.220117	0.1462005	0.0128483	0.004632823	0.02341273	0.1426802	0.0519176	0.582895	0	0.01646701	0.4950322	0.9095774	-0.07582333	-0.3412908	0.005468136	0.02259636	
0	0.1711049	0.09479097	0.01397751	0.006497225	0.01080839	0.0925867	0.08620074	0.4295383	0.02293909	0.003824031	0.5804825	0.7081083	-0.3798845	-0.4674503	0.02020215	0.02080991	
0	0.2212153	0.1078086	0	0.003073484	0.02018177	0.0728835	0.07930721	0.4273714	0.008534528	0.009880401	0.557981	0.8422447	-0.2941863	-0.4180509	0.03628842	0.03963747	
0	0.1747779	0.05888575	0.002020421	0.01172044	0.02281352	0.1171771	0.06096793	0.2717984	0.01388589	0.005281088	0.6162741	0.8592355	-0.253108	-0.3149083	0.04435378	0.04617056	
0	0.2040198	0.068534	0.0158668	0.003656956	0.015199	0.03863154	0.0331129	0.2559612	0.01144381	0.008101558	0.6542018	0.8833923	-0.2319534	-0.3732587	0.03213346	0.03484654	
0	0.2404547	0.01931703	0.01147022	0.02236558	0.01620059	0.02456405	0.1425714	0.2754519	0.02255009	0.01356786	0.5538311	0.6475952	-0.3187295	-0.370714	0.0463262	0.04848401	
0	0.212236	0.01365211	0	0.01344248	0.01908641	0.0227095	0.1054095	0.308616	0.01388229	0.008977844	0.5800422	0.7959945	-0.3069492	-0.404327	0.02266878	0.02332583	
0	0.1613189	0.1033022	0.0232975	0.0069618	0.008466426	0.03788373	0.1160232	0.3158901	0.01445566	0.01561599	0.5841724	0.9156463	-0.2071503	-0.4080451	0	0	
