JawOpen	LipPucker	JawSlideRight	LipStretcherRight	LipStretcherLeft	LipCornerPullerLeft	LipCornerPullerRight	LipCornerDepressorLeft	LipCornerDepressorRight	LeftcheekPuff	RightcheekPuff	LefteyeClosed	RighteyeClosed	RighteyebrowLowerer	LefteyebrowLowerer	LowerlipDepressorLeft	LowerlipDepressorRight	
0.01856593	0.1381069	0.154157	0.01773235	0	0.004896331	0.2591882	0.09909334	0.7385859	0.01870313	0.00526697	0.5349379	0.8080948	-0.2683081	-0.4363625	0	0.01916626	
0	0.1467637	0.1126684	0.02107127	0.009074884	0.0003547436	0.04801489	0.231685	0.4793012	0.03390224	0.01283885	0.6029558	0.815583	-0.3840657	-0.454938	0.01739897	0.01632944	
0.003092063	0.2260597	0.06705293	0.01408052	0.009849156	0.01589785	0.08487252	0.132221	0.4075094	0.01153176	0.01609913	0.6149589	0.9041455	-0.3362875	-0.5346249	0.2248448	0.198573	
0	0.2691742	0.09733716	0.008957812	0.007446739	0.01503533	0.0420606	0.08050147	0.4250037	0.0202954	0.009408838	0.5249604	0.8884181	-0.2641914	-0.5443661	0.09704752	0.08367193	
0	0.2768506	0.1541428	0.03935579	0	0.01361233	0.1234169	0.08461387	0.4858277	0.01769214	0.01575883	0.5685901	0.9501632	-0.1678396	-0.4516937	0.03794972	0.04773901	
0	0	0.1047337	0.05009563	0	0.02227786	0.1543287	0.004614633	0.2853172	0.02075837	0.01338343	0.5934279	0.9472503	-0.2732458	-0.4909303	0.006705528	0.02076083	
0	0.006506863	0.07342089	0.03256101	0.01451686	0.01874874	0.2145974	0.05473767	0.4294351	0.0185817	0.01342857	0.6536826	0.8748317	-0.3209586	-0.4549488	0.01505137	0.02210442	
0	0.1409113	0.1115932	0.04538871	0	0.004664123	0.1112528	0.1323792	0.4483702	0.02664941	0.006164173	0.5706719	0.8586026	-0.2031381	-0.4225069	0	0.001670834	
0	0	0.07139306	0.0335641	0.009753646	0.04410759	0.1955878	0.02179892	0.4530731	0.01791014	0.02413157	0.5819692	0.872791	-0.2695258	-0.5327117	0.01636448	0.02018284	
